+/-;Código;Classificação;Tipo;Nome;Apelido;Grupo;Relatório;Filtro;Fórmula;Condição;Plano padrão;Saldo;Código subconta;Grupo subconta;Natureza subconta;Empreendimentos Imobiliários;Unidades imobiliárias;Caixa produtor rural;Banco produtor rural;Conta transitória de produtor rural;Conta participante do Carnê Leão
;1;01;T;Ativo;;Ativo;Balanço Patrimonial;;;;90113;Comum;;;;;;;;;
;2;01.1;T; Ativo Circulante;;Ativo;Balanço Patrimonial;;;;90113;Comum;;;;;;;;;
;3;01.1.1;T;  Disponibilidades;;Ativo;Balanço Patrimonial;;;;90113;Comum;;;;;;;;;
;4;01.1.1.01;T;   Caixa;;Ativo;Balanço Patrimonial;;;;90113;Comum;;;;;;;;;
;5;01.1.1.01.001;;    Caixa;CX;Ativo;Balanço Patrimonial;;;;90113;Comum;;;;;;;;;
;1126;01.1.1.01.002;;    Caixa Permuta;;Ativo;Balanço Patrimonial;;;;90113;Comum;;;;;;;;;
;6;01.1.1.02;T;   Bancos Conta Movimento;;Ativo;Balanço Patrimonial;;;;90113;Comum;;;;;;;;;
;7;01.1.1.02.001;;    Banco Do Brasil S/a;BB;Ativo;Balanço Patrimonial;;;;90113;Comum;;;;;;;;;
;8;01.1.1.02.002;;    Caixa Econômica Federal S/a;CEF;Ativo;Balanço Patrimonial;;;;90113;Comum;;;;;;;;;
;9;01.1.1.02.003;;    Bradesco S/a;BBD;Ativo;Balanço Patrimonial;;;;90113;Comum;;;;;;;;;
;10;01.1.1.02.004;;    Santander S/a;Santander;Ativo;Balanço Patrimonial;;;;90113;Comum;;;;;;;;;
;615;01.1.1.02.005;;    Banrisul S/a;banri;Ativo;Balanço Patrimonial;;;;90113;Comum;;;;;;;;;
;616;01.1.1.02.006;;    Itaú;Itaú;Ativo;Balanço Patrimonial;;;;90113;Comum;;;;;;;;;
;617;01.1.1.02.007;;    Sicredi;Sicredi;Ativo;Balanço Patrimonial;;;;90113;Comum;;;;;;;;;
;618;01.1.1.02.008;;    Inter;Inter;Ativo;Balanço Patrimonial;;;;90113;Comum;;;;;;;;;
;726;01.1.1.02.009;;    Hsbc;;Ativo;Balanço Patrimonial;;;;90113;Comum;;;;;;;;;
;749;01.1.1.02.010;;    Bb Ag. 486-3 C/c 28768-7;;Ativo;Balanço Patrimonial;;;;90113;Comum;;;;;;;;;
;750;01.1.1.02.011;;    Cef Ag.1589 C/c 003/00001874-1;;Ativo;Balanço Patrimonial;;;;90113;Comum;;;;;;;;;
;751;01.1.1.02.012;;    Banrisul Ag 0215 C/c 06.063766.0-5;;Ativo;Balanço Patrimonial;;;;90113;Comum;;;;;;;;;
;752;01.1.1.02.013;;    Itaú Ag. 1438 C/c23803-0;;Ativo;Balanço Patrimonial;;;;90113;Comum;;;;;;;;;
;753;01.1.1.02.014;;    Itaú Ag. 1438 C/c24174-5;;Ativo;Balanço Patrimonial;;;;90113;Comum;;;;;;;;;
;754;01.1.1.02.015;;    Santander Ag. 1094 C/c 13-000745-4;;Ativo;Balanço Patrimonial;;;;90113;Comum;;;;;;;;;
;755;01.1.1.02.016;;    Bradesco Ag. 1775 C/c 44335-2;;Ativo;Balanço Patrimonial;;;;90113;Comum;;;;;;;;;
;756;01.1.1.02.017;;    Coop. Unicred ;unicred;Ativo;Balanço Patrimonial;;;;90113;Comum;;;;;;;;;
;777;01.1.1.02.018;;    Santander C/c 13.001897-9;SANT;Ativo;Balanço Patrimonial;;;;90113;Comum;;;;;;;;;
;837;01.1.1.02.019;;    Banco Siccob;;Ativo;Balanço Patrimonial;;;;90113;Comum;;;;;;;;;
;843;01.1.1.02.020;;    Banco Pag Seguro;PGSEG;Ativo;Balanço Patrimonial;;;;90113;Comum;;;;;;;;;
