Data;Débito;Crédito;Valor;Histórico;Complemento
11/04/2025;162;5;6.280,02;;Pagto Rescisão Lauro
11/04/2025;7;617;6.000,00;;TRANSFERÊNCIA ENTRE CONTAS
02/01/2025;776;795;20.749,98;;AJUSTE
27/02/2025;802;291;34,58;;RENDIMENTOS APLIC FINANCEIRA
03/02/2025;802;795;1.701,57;;APLICAÇÃO FINANCEIRA
31/12/2025;483;117;139,41;;DEPRECIAÇÃO MOVEIS E UTENSILIOS
31/12/2025;483;116;4.320,31;;DEPRECIAÇÃO MAQUINAS E EQUIPAMENTOS
31/12/2025;468;179;1.275,07;;FGTS
31/12/2025;468;178;1.513,72;;FGTS
31/12/2025;459;177;12.581,73;;FERIAS
31/12/2025;460;176;19.463,50;;13 SALARIO
20/11/2025;184;171;347,14;;PAGTO IRRF
20/10/2025;184;171;347,14;;PAGTO IRRF
19/09/2025;184;171;171,37;;PAGTO IRRF
20/08/2025;184;171;228,5;;PAGTO IRRF
20/07/2025;184;171;347,14;;PAGTO IRRF
20/06/2025;184;171;423,84;;PAGTO IRRF
20/05/2025;184;171;316,75;;PAGTO IRRF
20/04/2025;184;171;330,61;;PAGTO IRRF
20/03/2025;184;171;330,61;;PAGTO IRRF
20/02/2025;184;171;67,8;;PAGTO IRRF
17/01/2025;184;5;603,26;;PAGTO IRRF 12/2024
17/01/2025;171;5;1.476,29;;PAGTO INSS 12/2024
16/07/2025;468;172;255,63;;FGTS
18/06/2025;172;5;31,5;;PAGTO FGTS
04/04/2025;179;172;240,7;;FGTS mês anterior folha (GRRF) 04/2025 col.:14 - LAURO TEIXEIRA RODH
20/12/2025;38;460;1.014,13;;59105 - Desc. 13º sal. sit. auxílio doença 12/2025 col.:9 - TATIANE DA SILVA NUNES BARBOSA
07/11/2025;456;160;72,27;;PGTO SALARIO
05/06/2025;160;5;838,14;;PAGAMENTO DE SALARIOS COMPLEMENTAR
02/01/2025;160;5;81,89;;PAGAMENTO DE SALARIOS
08/10/2025;615;776;19.722,66;;RESGATE AUTOMATICO
18/12/2025;812;814;1.971,22;;RESGATE AUTOMATICO
03/12/2025;812;814;1.383,46;;RESGATE AUTOMATICO
01/12/2025;812;814;528;;RESGATE AUTOMATICO
28/11/2025;812;814;1.055,36;;RESGATE AUTOMATICO
19/11/2025;812;814;1.190,16;;RESGATE AUTOMATICO
17/11/2025;812;814;316,8;;RESGATE AUTOMATICO
07/11/2025;812;814;1.383,46;;RESGATE AUTOMATICO
02/12/2025;7;12;70,6;;BB RENDE FACIL
27/10/2025;565;810;10;;Tarifa Bancaria
06/10/2025;565;810;11;;TAR. AGRUPADAS
18/12/2025;810;811;661,92;;RESGATE BB CDB
18/12/2025;810;811;6.000,00;;RESGATE BB CDB
15/12/2025;810;811;105,54;;RESGATE BB CDB
15/12/2025;810;811;1.000,00;;RESGATE BB CDB
04/12/2025;810;811;153,36;;RESGATE BB CDB
04/12/2025;810;811;1.500,00;;RESGATE BB CDB
03/12/2025;810;811;457,92;;RESGATE BB CDB
03/12/2025;810;811;4.500,00;;RESGATE BB CDB
21/11/2025;810;811;343;;RESGATE BB CDB
21/11/2025;810;811;3.500,00;;RESGATE BB CDB
19/11/2025;810;811;195,04;;RESGATE BB CDB
19/11/2025;810;811;2.000,00;;RESGATE BB CDB
17/11/2025;810;811;193,12;;RESGATE BB CDB
17/11/2025;810;811;2.000,00;;RESGATE BB CDB
27/10/2025;810;811;134,34;;RESGATE BB CDB
27/10/2025;810;811;1.500,00;;RESGATE BB CDB
14/10/2025;810;811;170,76;;RESGATE BB CDB
14/10/2025;810;811;2.000,00;;RESGATE BB CDB
06/10/2025;810;811;123,9;;RESGATE BB CDB
06/10/2025;810;811;1.500,00;;RESGATE BB CDB
14/11/2025;617;793;100;;CAMISETAS
06/11/2025;617;308;2.100,00;;Doações
03/11/2025;617;308;2.169,00;;Doações
03/11/2025;617;308;1.500,00;;Doações
20/10/2025;704;617;645;;ATIVA MEDICINA
20/10/2025;474;617;1.451,16;;CORSAN
13/10/2025;83;617;500;;ACORDO TRABALHISTA
20/10/2025;812;814;1.190,16;;RESGATE AUTOMATICO
03/10/2025;812;814;1.383,46;;RESGATE AUTOMATICO
01/10/2025;812;814;809,6;;RESGATE AUTOMATICO
31/07/2025;617;793;240;;CONVITE
31/07/2025;617;793;60;;CONVITE
31/07/2025;617;793;120;;CONVITE
31/07/2025;617;793;120;;CONVITE
24/09/2025;810;811;39,46;;RESGATE BB CDB
24/09/2025;810;811;500;;RESGATE BB CDB
15/09/2025;810;811;113,55;;RESGATE BB CDB
15/09/2025;810;811;1.500,00;;RESGATE BB CDB
12/09/2025;810;811;150,48;;RESGATE BB CDB
12/09/2025;810;811;2.000,00;;RESGATE BB CDB
03/09/2025;810;811;72,04;;RESGATE BB CDB
03/09/2025;810;811;1.000,00;;RESGATE BB CDB
01/09/2025;810;811;35,33;;RESGATE BB CDB
02/09/2025;7;12;68,4;;BB RENDE FACIL
19/09/2025;812;814;1.190,16;;RESGATE AUTOMATICO
03/09/2025;812;814;1.383,46;;RESGATE AUTOMATICO
01/09/2025;812;814;774,4;;RESGATE AUTOMATICO
01/09/2025;465;812;387,2;;VALE TRANSPORTE
01/12/2025;565;615;60;;RENOVAÇÃO DE CADASTRO
01/12/2025;617;793;122,17;;TROCO SOLIDÁRIO
01/12/2025;617;786;50;;MENSALIDADE
01/12/2025;617;793;50;;CAMISETAS
01/12/2025;617;786;200;;MENSALIDADE
01/12/2025;489;617;4.950,00;;CONFECÇÃO CAMISETAS
01/12/2025;617;793;1.250,00;;CAMISETAS
01/12/2025;465;617;264;;VALE TRANSPORTE
01/12/2025;465;617;262,5;;VALE TRANSPORTE
01/12/2025;465;617;264;;VALE TRANSPORTE
01/12/2025;465;617;264;;VALE TRANSPORTE
01/12/2025;617;308;100;;DOAÇÕES
01/12/2025;617;308;2.100,00;;DOAÇÕES
01/12/2025;617;308;100;;DOAÇÕES
01/12/2025;617;308;2.200,00;;DOAÇÕES
01/12/2025;617;308;500;;DOAÇÕES
01/12/2025;465;812;264;;VALE TRANSPORTE
01/12/2025;465;812;264;;VALE TRANSPORTE
02/12/2025;617;793;2.000,00;;NF GAUCHA
02/12/2025;617;793;120;;COPA
02/12/2025;565;7;70,6;;DESPESAS BANCARIAS
03/12/2025;617;793;733,65;;TROCO SOLIDÁRIO
03/12/2025;475;617;347,6;;CEEE
03/12/2025;160;812;709,21;;PAGAMENTO DE SALARIO
03/12/2025;160;812;674,25;;PAGAMENTO DE SALARIO
03/12/2025;160;810;1.494,30;;PAGAMENTO DE SALARIO
03/12/2025;160;810;846,8;;PAGAMENTO DE SALARIO
03/12/2025;160;810;1.052,42;;PAGAMENTO DE SALARIO
03/12/2025;160;810;839,21;;PAGAMENTO DE SALARIO
03/12/2025;160;810;800,73;;PAGAMENTO DE SALARIO
03/12/2025;565;810;44,6;;TAR. AGRUPADAS
04/12/2025;160;810;2.187,75;;PAGAMENTO DE SALARIO
03/12/2025;565;810;10;;TAR. AGRUPADAS
03/12/2025;480;5;101,65;;CASA DO PAPEL
03/12/2025;500;5;330,51;;DISPÊNDIOS COM ALIMENTAÇÃO
04/12/2025;617;793;180;;COPA
04/12/2025;617;793;120;;COPA
08/12/2025;617;793;50;;CAMISETAS
08/12/2025;617;793;1.800,00;;COPA
08/12/2025;617;793;90;;COPA
08/12/2025;617;793;1.219,72;;TROCO SOLIDÁRIO
09/12/2025;617;793;569,59;;TROCO SOLIDÁRIO
09/12/2025;617;793;30;;COPA
09/12/2025;617;793;30;;COPA
09/12/2025;617;793;60;;COPA
09/12/2025;617;308;70;;DOAÇÕES
10/12/2025;617;793;100;;CAMISETAS
10/12/2025;617;793;784,4;;TROCO SOLIDÁRIO
10/12/2025;714;617;178,82;;L I G SEGURANÇA
10/12/2025;480;617;180;;TONNER
10/12/2025;565;617;29;;CESTA DE RELACIONAMENTO
10/12/2025;617;793;100;;CAMISETAS
10/12/2025;617;793;50;;CAMISETAS
11/12/2025;617;793;150;;CAMISETAS
11/12/2025;617;793;60;;COPA
11/12/2025;617;793;120;;COPA
11/12/2025;617;793;100;;CAMISETAS
12/12/2025;83;617;500;;ACORDO TRABALHISTA
12/12/2025;83;617;500;;ACORDO TRABALHISTA
12/12/2025;83;617;500;;ACORDO TRABALHISTA
12/12/2025;83;617;500;;ACORDO TRABALHISTA
12/12/2025;83;617;500;;ACORDO TRABALHISTA
12/12/2025;83;617;500;;ACORDO TRABALHISTA
12/12/2025;83;617;500;;ACORDO TRABALHISTA
12/12/2025;83;617;500;;ACORDO TRABALHISTA
12/12/2025;478;617;400;;COPA
12/12/2025;565;617;9;;DOC/TED INTERNET PJ
12/12/2025;565;617;9;;DOC/TED INTERNET PJ
12/12/2025;565;617;9;;DOC/TED INTERNET PJ
12/12/2025;565;617;9;;DOC/TED INTERNET PJ
12/12/2025;565;617;9;;DOC/TED INTERNET PJ
15/12/2025;617;793;120;;COPA
15/12/2025;617;793;30;;COPA
15/12/2025;617;793;60;;COPA
15/12/2025;617;793;30;;COPA
15/12/2025;617;793;120;;COPA
15/12/2025;617;793;180;;COPA
15/12/2025;617;793;10;;COPA
15/12/2025;617;793;15;;COPA
15/12/2025;617;793;5;;COPA
15/12/2025;617;793;5;;COPA
15/12/2025;617;793;60;;COPA
15/12/2025;617;793;10;;COPA
15/12/2025;617;793;120;;COPA
15/12/2025;617;793;120;;COPA
15/12/2025;617;793;120;;COPA
15/12/2025;617;793;300;;COPA
15/12/2025;489;617;62,5;;ATIVA MEDICINA
15/12/2025;489;617;231,13;;ATIVA MEDICINA
15/12/2025;704;617;645;;HONORÁRIOS CONTÁBEIS
15/12/2025;489;617;4.950,00;;CONFECÇÃO CAMISETAS
15/12/2025;478;617;450;;MATERIAL DE EXPEDIENTE
15/12/2025;478;617;23,97;;COPA
15/12/2025;815;617;1.100,00;;DEMAIS DESPESAS
15/12/2025;807;617;139,9;;INTERNET
15/12/2025;498;810;216,89;;ALIMENTAÇÃO
15/12/2025;498;810;367,94;;ALIMENTAÇÃO
15/12/2025;498;810;425,51;;ALIMENTAÇÃO
15/12/2025;565;810;9,99;;TAR. AGRUPADAS
16/12/2025;617;308;820;;DOAÇÕES
16/12/2025;617;793;180;;COPA
16/12/2025;617;793;630;;COPA
16/12/2025;617;793;120;;CAMISETAS
18/12/2025;163;617;1.359,80;;PAGAMENTO 13º SALARIO
18/12/2025;163;617;648,19;;PAGAMENTO 13º SALARIO
18/12/2025;163;617;1.683,40;;PAGAMENTO 13º SALARIO
18/12/2025;163;617;960,9;;PAGAMENTO 13º SALARIO
18/12/2025;163;617;402,28;;PAGAMENTO 13º SALARIO
18/12/2025;163;617;648,19;;PAGAMENTO 13º SALARIO
18/12/2025;617;308;2.000,00;;DOAÇÕES
18/12/2025;617;308;100;;DOAÇÕES
18/12/2025;489;617;600;;SERVIÇOS DE TERCEIROS PESSOA JURÍDICA
18/12/2025;172;617;1.653,38;;FGTS
18/12/2025;617;793;660;;COPA
18/12/2025;617;793;20;;COPA
