Data;Débito;Crédito;Valor;Histórico;Complemento
01/12/2025;565;615;R$ 60,00;;RENOVAÇÃO DE CADASTRO
01/12/2025;617;793;R$ 122,17;;TROCO SOLIDÁRIO
01/12/2025;617;786;R$ 50,00;;MENSALIDADE
01/12/2025;617;793;R$ 50,00;;CAMISETAS
01/12/2025;617;786;R$ 200,00;;MENSALIDADE
01/12/2025;400;617;R$ 4.950,00;;MATERIAL DE CONSUMO
01/12/2025;617;793;R$ 1.250,00;;CAMISETAS
01/12/2025;465;617;R$ 264,00;;VALE TRANSPORTE
01/12/2025;465;617;R$ 262,50;;VALE TRANSPORTE
01/12/2025;465;617;R$ 264,00;;VALE TRANSPORTE
01/12/2025;465;617;R$ 264,00;;VALE TRANSPORTE
01/12/2025;617;308;R$ 100,00;;DOAÇÕES
01/12/2025;617;308;R$ 2.100,00;;DOAÇÕES
01/12/2025;617;308;R$ 100,00;;DOAÇÕES
01/12/2025;617;308;R$ 2.200,00;;DOAÇÕES
01/12/2025;617;308;R$ 500,00;;DOAÇÕES
01/12/2025;465;812;R$ 264,00;;VALE TRANSPORTE
01/12/2025;465;812;R$ 264,00;;VALE TRANSPORTE
02/12/2025;617;793;R$ 2.000,00;;NF GAUCHA
02/12/2025;617;617;R$ 120,00;;COPA
02/12/2025;565;7;R$ 70,60;;DESPESAS BANCARIAS
03/12/2025;617;793;R$ 733,65;;TROCO SOLIDÁRIO
03/12/2025;475;617;R$ 347,60;;CEEE
03/12/2025;160;812;R$ 709,21;;PAGAMENTO DE SALARIO
03/12/2025;160;812;R$ 674,25;;PAGAMENTO DE SALARIO
03/12/2025;160;810;R$ 1.494,30;;PAGAMENTO DE SALARIO
03/12/2025;160;810;R$ 846,80;;PAGAMENTO DE SALARIO
03/12/2025;160;810;R$ 1.052,42;;PAGAMENTO DE SALARIO
03/12/2025;160;810;R$ 839,21;;PAGAMENTO DE SALARIO
03/12/2025;160;810;R$ 800,73;;PAGAMENTO DE SALARIO
03/12/2025;565;810;R$ 44,60;;TAR. AGRUPADAS
03/12/2025;160;810;R$ 2.187,75;;PAGAMENTO DE SALARIO
03/12/2025;565;810;R$ 10,00;;TAR. AGRUPADAS
03/12/2025;480;5;R$ 101,65;;CASA DO PAPEL
03/12/2025;500;5;R$ 330,51;;DISPÊNDIOS COM ALIMENTAÇÃO
04/12/2025;617;617;R$ 180,00;;COPA
04/12/2025;617;617;R$ 120,00;;COPA
08/12/2025;617;793;R$ 50,00;;CAMISETAS
08/12/2025;617;617;R$ 1.800,00;;COPA
08/12/2025;617;617;R$ 90,00;;COPA
08/12/2025;617;793;R$ 1.219,72;;TROCO SOLIDÁRIO
09/12/2025;617;793;R$ 569,59;;TROCO SOLIDÁRIO
09/12/2025;617;617;R$ 30,00;;COPA
09/12/2025;617;617;R$ 30,00;;COPA
09/12/2025;617;617;R$ 60,00;;COPA
09/12/2025;617;308;R$ 70,00;;DOAÇÕES
10/12/2025;617;793;R$ 100,00;;CAMISETAS
10/12/2025;617;793;R$ 784,40;;TROCO SOLIDÁRIO
10/12/2025;714;617;R$ 178,82;;L I G SEGURANÇA
10/12/2025;480;617;R$ 180,00;;TONNER
10/12/2025;565;617;R$ 29,00;;CESTA DE RELACIONAMENTO
10/12/2025;617;793;R$ 100,00;;CAMISETAS
10/12/2025;617;793;R$ 50,00;;CAMISETAS
11/12/2025;617;793;R$ 150,00;;CAMISETAS
11/12/2025;617;617;R$ 60,00;;COPA
11/12/2025;617;617;R$ 120,00;;COPA
11/12/2025;617;793;R$ 100,00;;CAMISETAS
12/12/2025;83;617;R$ 500,00;;ACORDO TRABALHISTA
12/12/2025;83;617;R$ 500,00;;ACORDO TRABALHISTA
12/12/2025;83;617;R$ 500,00;;ACORDO TRABALHISTA
12/12/2025;83;617;R$ 500,00;;ACORDO TRABALHISTA
12/12/2025;83;617;R$ 500,00;;ACORDO TRABALHISTA
12/12/2025;83;617;R$ 500,00;;ACORDO TRABALHISTA
12/12/2025;83;617;R$ 500,00;;ACORDO TRABALHISTA
12/12/2025;83;617;R$ 500,00;;ACORDO TRABALHISTA
12/12/2025;617;617;R$ 400,00;;COPA
12/12/2025;565;617;R$ 9,00;;DOC/TED INTERNET PJ
12/12/2025;565;617;R$ 9,00;;DOC/TED INTERNET PJ
12/12/2025;565;617;R$ 9,00;;DOC/TED INTERNET PJ
12/12/2025;565;617;R$ 9,00;;DOC/TED INTERNET PJ
12/12/2025;565;617;R$ 9,00;;DOC/TED INTERNET PJ
15/12/2025;617;617;R$ 120,00;;COPA
15/12/2025;617;617;R$ 30,00;;COPA
15/12/2025;617;617;R$ 60,00;;COPA
15/12/2025;617;617;R$ 30,00;;COPA
15/12/2025;617;617;R$ 120,00;;COPA
15/12/2025;617;617;R$ 180,00;;COPA
15/12/2025;617;617;R$ 10,00;;COPA
15/12/2025;617;617;R$ 15,00;;COPA
15/12/2025;617;617;R$ 5,00;;COPA
15/12/2025;617;617;R$ 5,00;;COPA
15/12/2025;617;617;R$ 60,00;;COPA
15/12/2025;617;617;R$ 10,00;;COPA
15/12/2025;617;617;R$ 120,00;;COPA
15/12/2025;617;617;R$ 120,00;;COPA
15/12/2025;617;617;R$ 120,00;;COPA
15/12/2025;617;617;R$ 300,00;;COPA
15/12/2025;489;617;R$ 62,50;;ATIVA MEDICINA 
15/12/2025;489;617;R$ 231,13;;ATIVA MEDICINA 
15/12/2025;704;617;R$ 645,00;;HONORÁRIOS CONTÁBEIS
15/12/2025;400;617;R$ 4.950,00;;MATERIAL DE CONSUMO
15/12/2025;401;617;R$ 450,00;;MATERIAL DE EXPEDIENTE
15/12/2025;617;617;R$ 23,97;;COPA
15/12/2025;815;617;R$ 1.100,00;;DEMAIS DESPESAS
15/12/2025;807;617;R$ 139,90;;INTERNET
15/12/2025;498;810;R$ 216,89;;ALIMENTAÇÃO
15/12/2025;498;810;R$ 367,94;;ALIMENTAÇÃO
15/12/2025;498;810;R$ 425,51;;ALIMENTAÇÃO
15/12/2025;565;810;R$ 9,99;;TAR. AGRUPADAS
16/12/2025;617;308;R$ 820,00;;DOAÇÕES
16/12/2025;617;793;R$ 180,00;;COPA
16/12/2025;617;793;R$ 630,00;;COPA
16/12/2025;617;793;R$ 120,00;;CAMISETAS
18/12/2025;163;617;R$ 1.359,80;;PAGAMENTO 13º SALARIO
18/12/2025;163;617;R$ 648,19;;PAGAMENTO 13º SALARIO
18/12/2025;163;617;R$ 1.683,40;;PAGAMENTO 13º SALARIO
18/12/2025;163;617;R$ 960,90;;PAGAMENTO 13º SALARIO
