"Data";"Tipo";"Documento";"Descricao";"Historico";"Debito";"Credito";"Status"
"06/01/2026";"PIX ENVIADO";"***601";"Pix - Enviado - 06/01 14:25 GREICE MARIA DOS SANTOS M";"Pix - Enviado - 06/01 14:25 GREICE MARIA DOS SANTOS M";"1494.30";"";"pendente"
"06/01/2026";"PIX ENVIADO";"***602";"Pix - Enviado - 06/01 14:25 SILVIA TARUEL RITTES TOLE";"Pix - Enviado - 06/01 14:25 SILVIA TARUEL RITTES TOLE";"1052.42";"";"pendente"
"06/01/2026";"PIX ENVIADO";"***603";"Pix - Enviado - 06/01 14:25 DENISE IENCZAK FERRI";"Pix - Enviado - 06/01 14:25 DENISE IENCZAK FERRI";"2187.75";"";"pendente"
"06/01/2026";"PIX ENVIADO";"***604";"Pix - Enviado - 06/01 14:25 MARIA ADRIANA SILVEIRA DA";"Pix - Enviado - 06/01 14:25 MARIA ADRIANA SILVEIRA DA";"800.73";"";"pendente"
"06/01/2026";"PIX ENVIADO";"***605";"Pix - Enviado - 06/01 14:25 MONICA SULZBACHER";"Pix - Enviado - 06/01 14:25 MONICA SULZBACHER";"839.21";"";"pendente"
"06/01/2026";"PIX ENVIADO";"***606";"Pix - Enviado - 06/01 17:08 IOLANDA AZEVEDO DUARTE";"Pix - Enviado - 06/01 17:08 IOLANDA AZEVEDO DUARTE";"846.80";"";"pendente"
"06/01/2026";"PIX ENVIADO";"****************652";"Tarifa Pix Enviado";"Tarifa Pix Enviado";"54.60";"";"pendente"
"06/01/2026";"RESGATE BB CDB DI";"000000";"Resgate BB CDB DI";"Resgate BB CDB DI";"";"2500.00";"pendente"
"20/01/2026";"PIX ENVIADO";"***001";"Pix - Enviado - 20/01 15:01 MARIA ADRIANA SILVEIRA DA";"Pix - Enviado - 20/01 15:01 MARIA ADRIANA SILVEIRA DA";"610.16";"";"pendente"
"20/01/2026";"PIX ENVIADO";"***002";"Pix - Enviado - 20/01 15:01 MONICA SULZBACHER";"Pix - Enviado - 20/01 15:01 MONICA SULZBACHER";"610.16";"";"pendente"
"20/01/2026";"PIX ENVIADO";"***003";"Pix - Enviado - 20/01 15:01 DENISE IENCZAK FERRI";"Pix - Enviado - 20/01 15:01 DENISE IENCZAK FERRI";"2017.38";"";"pendente"
"20/01/2026";"PIX ENVIADO";"***004";"Pix - Enviado - 20/01 15:01 Silvia Taruel Rittes Tole";"Pix - Enviado - 20/01 15:01 Silvia Taruel Rittes Tole";"315.24";"";"pendente"
"20/01/2026";"PIX ENVIADO";"***005";"Pix - Enviado - 20/01 15:01 GREICE MARIA DOS SANTOS M";"Pix - Enviado - 20/01 15:01 GREICE MARIA DOS SANTOS M";"1344.92";"";"pendente"
"20/01/2026";"PIX ENVIADO";"***006";"Pix - Enviado - 20/01 15:01 IOLANDA AZEVEDO DUARTE";"Pix - Enviado - 20/01 15:01 IOLANDA AZEVEDO DUARTE";"405.55";"";"pendente"
"20/01/2026";"PIX ENVIADO";"****************212";"Tarifa Pix Enviado";"Tarifa Pix Enviado";"39.21";"";"pendente"
"20/01/2026";"RESGATE BB CDB DI";"000000";"Resgate BB CDB DI";"Resgate BB CDB DI";"";"5000.00";"pendente"
"22/01/2026";"PIX ENVIADO";"***201";"Pix - Enviado - 22/01 08:49 Silvia Taruel Rittes Tole";"Pix - Enviado - 22/01 08:49 Silvia Taruel Rittes Tole";"600.00";"";"pendente"
"22/01/2026";"PIX ENVIADO";"**2,8";"Tarifa Pix Enviado 860.221.200.057.883 5,94 D";"Tarifa Pix Enviado 860.221.200.057.883 5,94 D";"";"4.00";"pendente"
"26/01/2026";"PIX ENVIADO";"***601";"Pix - Enviado - 26/01 14:01 SUPER SANTOS";"Pix - Enviado - 26/01 14:01 SUPER SANTOS";"21286.00";"";"pendente"
"26/01/2026";"PIX ENVIADO";"**7.8";"Tarifa Pix Enviado 890.261.200.076.101 2.10 D";"Tarifa Pix Enviado 890.261.200.076.101 2.10 D";"";"8.00";"pendente"
"28/01/2026";"PIX ENVIADO";"***801";"Pix - Enviado - 28/01 13:26 MARIA ADRIANA SILVEIRA DA";"Pix - Enviado - 28/01 13:26 MARIA ADRIANA SILVEIRA DA";"30000.00";"";"pendente"
"28/01/2026";"PIX ENVIADO";"****************406";"Tarifa Pix Enviado";"Tarifa Pix Enviado";"297.00";"";"pendente"
"28/01/2026";"RESGATE BB CDB DI";"000000";"Resgate BB CDB DI";"Resgate BB CDB DI";"";"50000.00";"pendente"
"30/01/2026";"PIX ENVIADO";"**6.7";"Pix - Enviado 13.001 112.00 D - 30/01 13:24 COMPANHIA DO GAS";"Pix - Enviado 13.001 112.00 D - 30/01 13:24 COMPANHIA DO GAS";"";"2.00";"pendente"
"30/01/2026";"PIX ENVIADO";"***002";"Pix - Enviado - 30/01 17:14 SUPER SANTOS";"Pix - Enviado - 30/01 17:14 SUPER SANTOS";"49445.00";"";"pendente"
"30/01/2026";"PIX ENVIADO";"****************629";"Tarifa Pix Enviado";"Tarifa Pix Enviado";"489.00";"";"pendente"
"30/01/2026";"RESGATE BB CDB DI";"000000";"Resgate BB CDB DI";"Resgate BB CDB DI";"";"50000.00";"pendente"
"31/01/2026";"S A L D O";"**7.6";"S A L D O";"S A L D O";"";"9.00";"pendente"
