Data;Débito;Crédito;Valor;Histórico;Complemento
04/05/2026;817;615;R$ 1.600,00;;RESGATE AUTOMATICO CDB
05/05/2026;817;615;R$ 50,00;;RESGATE AUTOMATICO CDB
05/05/2026;565;615;R$ 75,00;;TARIFA MAN.CC/ATIVA
06/05/2026;817;615;R$ 7.750,00;;RESGATE AUTOMATICO CDB
07/05/2026;817;615;R$ 50,00;;RESGATE AUTOMATICO CDB
07/05/2026;565;615;R$ 29,01;;TARIFA PIX TRANSFERENCIA
19/05/2026;817;615;R$ 50,00;;RESGATE AUTOMATICO CDB
19/05/2026;565;615;R$ 60,00;;RENOVACAO DE CADASTRO
20/05/2026;817;615;R$ 4.600,00;;RESGATE AUTOMATICO CDB
21/05/2026;565;615;R$ 18,54;;TARIFA PIX TRANSFERENCIA
27/05/2026;817;615;R$ 600,00;;RESGATE AUTOMATICO CDB
